Codigo Communidad,Communidad
AN,Andalucía
AR,Aragón
AS,Asturias
CN,Canarias
CB,Cantabria
CL,Castilla y León
CM,Castilla-La Mancha
CT,Catalunya
CE,Ceuta
EX,Extremadura
GA,Galicia
IB,Illes Balears
RI,La Rioja
MD,Madrid
ML,Melilla
MC,Murcia
NC,Navarra
PV,País Vasco
VC,Valenciana
